machine_id,start_time
m_2637,673795
m_3430,158478
m_1910,372602
m_2485,372602
m_993,372602
m_2808,372603
m_3736,372603
m_1176,372603
m_2682,372602
m_3625,372603
m_1158,372603
m_1357,372603
m_1548,372602
m_1176,372602
m_956,372603
m_1118,372602
m_307,372603
m_2872,372602
m_3888,372603
m_1321,372604
m_2447,372602
m_68,372602
m_114,372602
m_3816,372602
m_956,372603
m_3519,372602
m_2804,372603
m_3737,372603
m_2055,372612
m_2391,372602
m_622,372603
m_2983,372601
m_1252,372602
m_171,372602
m_3572,372602
m_158,372601
m_876,372603
m_814,372603
m_1204,372602
m_2601,372602
m_3199,372602
m_1038,372602
m_3127,372603
m_2946,372603
m_3633,372602
m_3578,372601
m_277,372602
m_1574,372602
m_2332,372604
m_3633,372603
m_2748,372602
m_1610,372603
m_167,372603
m_608,372602
m_3164,372603
m_1390,372602
m_1362,372602
m_3528,372602
m_502,372603
m_621,372603
m_2420,372602
m_2902,372602
m_2896,372602
m_1002,372602
m_1060,372602
m_110,372603
m_2543,372603
m_3402,372602
m_1654,372602
m_2421,372602
m_826,372603
m_1401,372602
m_1623,372602
m_2387,372602
m_3472,372602
m_3131,372603
m_3672,372603
m_511,372603
m_3301,372603
m_3313,372602
m_2979,372602
m_698,372603
m_937,372603
m_1196,372602
m_3771,372602
m_2353,372602
m_3267,372603
m_265,372603
m_1008,372603
m_1729,372602
m_2519,372602
m_4009,372602
m_3131,372602
m_1924,372603
m_539,372602
m_686,372603
m_1884,372602
m_516,372602
m_826,372603
m_2398,372602
m_437,372602
m_1312,372602
m_1603,372603
m_1224,372602
m_3028,372602
m_599,372602
m_2432,372603
m_1144,372603
m_1326,372601
m_2991,372602
m_1953,372607
m_737,372602
m_1525,372603
m_1110,372603
m_2880,372602
m_2381,372603
m_2702,372603
m_1941,372602
m_1803,372602
m_2185,372603
m_1768,372603
m_1438,372603
m_994,372602
m_2859,372602
m_2749,372602
m_3890,372602
m_2154,372603
m_2923,372604
m_375,372603
m_3204,372603
m_3952,372602
m_1187,372602
m_1612,372603
m_183,372602
m_4031,372603
m_1235,372603
m_3059,372603
m_1252,372602
m_1558,372602
m_1323,372603
m_2323,372602
m_2782,372602
m_2218,372603
m_1563,372602
m_4026,372603
m_2802,372604
m_1717,372603
m_310,372604
m_565,372602
m_1607,372612
m_2696,372602
m_1765,372602
m_3639,372603
m_2896,372602
m_2553,372602
m_2433,372603
m_24,372603
m_1165,372602
m_3479,372603
m_3576,372603
m_3750,372603
m_2180,372602
m_2303,372603
m_2441,372603
m_3920,372602
m_1934,372602
m_2608,372602
m_1610,372603
m_3437,372602
m_3003,372602
m_1805,372604
m_1954,372603
m_714,372602
m_3822,372603
m_1063,372602
m_3482,372602
m_2927,372602
m_863,372603
m_3957,372602
m_3162,372603
m_844,372604
m_1043,372603
m_1821,372603
m_3633,372602
m_2903,372603
m_2866,372602
m_1674,372602
m_1639,372602
m_926,372603
m_21,372603
m_204,372696
m_2943,372602
m_2489,372603
m_427,372602
m_406,372601
m_576,372601
m_4014,372603
m_3850,372603
m_2247,372602
m_2486,372602
m_921,372602
m_3618,372602
m_2659,372603
m_1960,372602
m_872,372603
m_2368,372604
m_1780,372602
m_1941,372602
m_1552,372603
m_434,372603
m_3827,372603
m_2376,372602
m_1674,372611
m_3841,372611
m_1784,372602
m_1717,372603
m_378,372603
m_1821,372603
m_493,372602
m_1163,372602
m_1446,372602
m_3340,372603
m_150,372603
m_2138,372602
m_1452,372602
m_3814,372603
m_1644,372602
m_114,372602
m_351,372602
m_481,372603
m_1748,372602
m_1271,372602
m_1742,372602
m_2232,372602
m_1558,372602
m_2055,372602
m_2788,372602
m_511,372603
m_3151,372603
m_1997,372602
m_2176,372603
m_1443,372603
m_313,372603
m_2215,372603
m_1281,372604
m_1516,372602
m_3581,372602
m_1687,372604
m_3412,372602
m_2522,372603
m_3220,372603
m_3187,372602
m_2190,372603
m_2509,372602
m_3461,372602
m_696,372602
m_923,372602
m_309,372602
m_963,372602
m_2350,372602
m_1418,372602
m_2240,372602
m_445,372602
m_58,372604
m_3214,372602
m_539,372602
m_303,372603
m_212,372602
m_813,372608
m_3782,372602
m_2881,372603
m_1776,372602
m_3145,372602
m_2802,372603
m_3329,372602
m_1633,372602
m_3610,372602
m_3795,372602
m_2979,372602
m_319,372602
m_3650,372604
m_2819,372602
m_313,372603
m_1036,372602
m_2022,372602
m_2098,372602
m_3212,372602
m_2583,372603
m_1078,372603
m_86,372603
m_1482,372602
m_1274,372602
m_798,372697
m_2460,372602
m_472,372602
m_2805,372602
m_579,372602
m_3139,372601
m_1821,372603
m_1743,372602
m_2691,372603
m_2396,372602
m_1446,372602
m_2426,372602
m_3105,372603
m_3825,372602
m_3970,372601
m_1935,372602
m_3083,372603
m_35,372602
m_1673,372603
m_3464,372603
m_767,372603
m_3744,372602
m_92,372602
m_76,372603
m_2659,372603
m_928,372603
m_1608,372602
m_373,372602
m_2474,372603
m_1606,372603
m_3326,372602
m_1742,372603
m_57,372602
m_2933,372603
m_3585,372603
m_3784,372603
m_2046,372602
m_3801,372602
m_3172,372602
m_352,372603
m_3971,372602
m_1805,372603
m_3184,372602
m_2713,372603
m_164,372603
m_1940,372602
m_3341,372603
m_1536,372603
m_1932,372602
m_1655,372602
m_2160,372602
m_879,372602
m_2164,372602
m_2129,372603
m_2360,372603
m_748,372603
m_282,372603
m_731,372602
m_2957,372603
m_684,372602
m_1253,372603
m_2432,372603
m_1821,372602
m_1368,372603
m_1170,372602
m_3939,372602
m_1768,372603
m_2930,372602
m_736,372603
m_3381,372602
m_1926,372602
m_1401,372602
m_1576,372603
m_765,372603
m_3665,372603
m_2486,372602
m_3374,372602
m_2305,372603
m_1425,372602
m_178,372603
m_3800,372602
m_3266,372602
m_3693,372602
m_1759,372602
m_826,372603
m_1279,372603
m_1607,372602
m_457,372602
m_3364,372603
m_254,372602
m_3163,372602
m_644,372603
m_1308,372603
m_3717,372602
m_40,372602
m_3640,372602
m_2649,372602
m_2592,372602
m_2575,372601
m_2437,372602
m_1553,372602
m_3565,372603
m_2595,372602
m_2128,372602
m_3852,372602
m_630,372602
m_2535,372602
m_2625,372602
m_2613,372602
m_3618,372603
m_1954,372603
m_2662,372602
m_874,372603
m_3300,372603
m_587,372602
m_662,372602
m_1756,372602
m_296,372602
m_1612,372603
m_2453,372603
m_2253,372602
m_548,372602
m_1192,372602
m_2050,372602
m_734,372603
m_1574,372602
m_1592,372601
m_2013,372603
m_1929,372602
m_3647,372602
m_3154,372603
m_3472,372602
m_691,372602
m_3185,372602
m_896,372603
m_327,372603
m_3841,372602
m_1578,372603
m_1989,372602
m_1988,372602
m_274,372603
m_3090,372604
m_3113,372602
m_2477,372603
m_1972,372603
m_1859,372602
m_2086,372602
m_2190,372603
m_1819,372603
m_420,372603
m_2871,372602
m_2706,372602
m_613,372603
m_3355,372602
m_1681,372603
m_3949,372603
m_3389,372603
m_2147,372602
m_1960,372602
m_2647,372602
m_2002,372602
m_49,372603
m_1270,372602
m_3369,372602
m_3111,372602
m_172,372602
m_1470,372602
m_2074,372603
m_2597,372602
m_3876,372602
m_1844,372603
m_684,372603
m_597,372602
m_970,372603
m_2109,372602
m_2015,372602
m_1776,372602
m_261,372603
m_3506,372603
m_2644,372602
m_2649,372612
m_1954,372603
m_1988,372602
m_873,372602
m_3363,372602
m_2473,372602
m_792,372602
m_133,372602
m_2973,372602
m_2934,372603
m_1544,372603
m_331,372602
m_1664,372602
m_2635,372602
m_781,372602
m_613,372603
m_2143,372603
m_800,372602
m_1712,372602
m_940,372603
m_205,372603
m_2389,372603
m_3172,372602
m_1754,372603
m_1992,372602
m_1790,372603
m_1929,372602
m_1310,372602
m_690,372603
m_1611,372602
m_2693,372602
m_508,348807
m_3076,348807
m_2557,348807
m_2300,348807
m_1149,348807
m_1539,348807
m_1565,348807
m_1273,348807
m_3197,348807
m_1777,99680
m_1200,99680
m_1100,99680
m_3564,99680
m_2421,99680
m_2932,99680
m_1792,99680
m_1185,99680
m_1960,99680
m_1982,99680
m_381,99680
m_1621,99680
m_1312,99680
m_1680,99680
m_3796,99680
m_2738,99680
m_3728,99680
m_624,99680
m_1298,99680
m_2701,99680
m_2321,99680
m_1577,99680
m_735,99680
m_2321,99680
m_2707,99680
m_751,99680
m_1410,99680
m_34,99680
m_190,99680
m_1852,99680
m_3369,99680
m_3129,99680
m_439,99680
